,Enhancer_region,Gene
74,chr13-83884683-83885582,Gm16070
75,chr13-83884683-83885582,Crispld1
76,chr13-83884683-83885582,Gm28153
77,chr13-83884683-83885582,Gm28756
78,chr13-83884683-83885582,Crisp4
79,chr13-83884683-83885582,Gm15825
80,chr13-83884683-83885582,Tfap2d
81,chr13-83884683-83885582,Tfap2b
82,chr13-83884683-83885582,Pkhd1
83,chr13-83884683-83885582,4930486I03Rik
84,chr13-83884683-83885582,Gm28653
85,chr13-83884683-83885582,Il17f
86,chr13-83884683-83885582,Mcm3
87,chr13-83884683-83885582,6720483E21Rik
88,chr13-83884683-83885582,Paqr8
89,chr13-83884683-83885582,Efhc1
90,chr13-83884683-83885582,Tram2
91,chr13-83884683-83885582,Tmem14a
92,chr13-83884683-83885582,Gsta3
93,chr13-83884683-83885582,Gm28836
94,chr13-83884683-83885582,Khdc1b
95,chr13-83884683-83885582,Kcnq5
96,chr13-83884683-83885582,Rims1
97,chr13-83884683-83885582,Gm29506
98,chr13-83884683-83885582,4933415F23Rik
99,chr13-83884683-83885582,Gm29107
100,chr13-83884683-83885582,Ogfrl1
101,chr13-83884683-83885582,Gm28822
102,chr13-83884683-83885582,B3gat2
103,chr13-83884683-83885582,Smap1
104,chr13-83884683-83885582,Sdhaf4
105,chr13-83884683-83885582,Fam135a
106,chr13-83884683-83885582,Col9a1
107,chr13-83884683-83885582,Col19a1
108,chr13-83884683-83885582,Lmbrd1
109,chr13-83884683-83885582,Adgrb3
110,chr13-83884683-83885582,Gm597
111,chr13-83884683-83885582,Phf3
112,chr13-83884683-83885582,Ptp4a1
113,chr13-83884683-83885582,Ptp4a1.1
114,chr13-83884683-83885582,4931428L18Rik
115,chr13-83884683-83885582,Gm29128
116,chr13-83884683-83885582,Lgsn
117,chr13-83884683-83885582,Khdrbs2
118,chr13-83884683-83885582,Gm5415
119,chr13-83884683-83885582,Gm37724
120,chr13-83884683-83885582,Prim2
121,chr13-83884683-83885582,Rab23
122,chr13-83884683-83885582,Bag2
123,chr13-83884683-83885582,Zfp451
124,chr13-83884683-83885582,Bend6
125,chr13-83884683-83885582,Dst
126,chr13-83884683-83885582,Gm26788
127,chr13-83884683-83885582,Gm37233
128,chr13-83884683-83885582,Ccdc115
129,chr13-83884683-83885582,Gm28306
130,chr13-83884683-83885582,Imp4
131,chr13-83884683-83885582,Ptpn18
132,chr13-83884683-83885582,Gm28417
133,chr13-83884683-83885582,4930568A12Rik
134,chr13-83884683-83885582,Prss40
135,chr13-83884683-83885582,Amer3
136,chr13-83884683-83885582,Arhgef4
137,chr13-83884683-83885582,Gm38336
138,chr13-83884683-83885582,Fam168b
139,chr13-41015889-41016778,Plekhb2
140,chr13-41015889-41016778,Gm37068
141,chr13-41015889-41016778,1110002O04Rik
142,chr13-41015889-41016778,Gm33222
143,chr13-83884683-83885582,Hs6st1
144,chr13-83884683-83885582,Gm37335
145,chr13-83884683-83885582,Gm33280
146,chr13-83884683-83885582,Uggt1
147,chr13-83884683-83885582,Neurl3
148,chr13-83884683-83885582,Arid5a
149,chr13-83884683-83885582,4930403P22Rik
150,chr13-83884683-83885582,Kansl3
151,chr13-83884683-83885582,Fer1l5
152,chr13-83884683-83885582,Lman2l
153,chr13-83884683-83885582,Cnnm4
154,chr13-83884683-83885582,Cnnm3
155,chr13-83884683-83885582,Gm38033
156,chr13-83884683-83885582,Ankrd23
157,chr13-83884683-83885582,Ankrd39
158,chr13-83884683-83885582,Sema4c
159,chr13-83884683-83885582,D430040D24Rik
160,chr13-83884683-83885582,Fam178b
161,chr13-83884683-83885582,Cox5b
162,chr13-83884683-83885582,Actr1b
163,chr13-83884683-83885582,4933424G06Rik
164,chr13-83884683-83885582,Gm33533
165,chr13-83884683-83885582,Zap70
166,chr13-83884683-83885582,Tmem131
167,chr13-83884683-83885582,Gm38115
168,chr13-83884683-83885582,Vwa3b
169,chr13-83884683-83885582,Gm37020
170,chr13-83884683-83885582,Cnga3
171,chr13-83884683-83885582,Inpp4a
172,chr13-83884683-83885582,4930439A04Rik
173,chr13-83884683-83885582,Coa5
174,chr13-83884683-83885582,Unc50
175,chr13-83884683-83885582,Mgat4a
176,chr13-83884683-83885582,2010300C02Rik
177,chr13-83884683-83885582,Tsga10
178,chr13-83884683-83885582,Gm26805
179,chr13-83884683-83885582,Lipt1
180,chr13-83884683-83885582,Mitd1
181,chr13-83884683-83885582,Mrpl30
182,chr13-83884683-83885582,Lyg2
183,chr13-83884683-83885582,Gm15457
184,chr13-83884683-83885582,Txndc9
185,chr19-5770897-5771773,Eif5b
186,chr13-83884683-83885582,Rev1
187,chr13-83884683-83885582,Gm37062
188,chr13-83884683-83885582,Gm5099
189,chr13-83884683-83885582,Aff3
190,chr13-83884683-83885582,Gm16150
191,chr13-83884683-83885582,Gm16151
192,chr13-83884683-83885582,Gm16152
193,chr13-83884683-83885582,Lonrf2
194,chr13-83884683-83885582,Chst10
195,chr13-83884683-83885582,Gm37707
196,chr19-5770897-5771773,Pdcl3
197,chr19-5770897-5771773,Npas2
198,chr19-5770897-5771773,Rpl31
199,chr19-5770897-5771773,Tbc1d8
200,chr19-5770897-5771773,Cnot11
201,chr19-5770897-5771773,Gm15832
202,chr19-5770897-5771773,Rnf149
203,chr13-83884683-83885582,Creg2
204,chr13-83884683-83885582,Rfx8
205,chr19-5770897-5771773,1700066B17Rik
206,chr13-83884683-83885582,Map4k4
207,chr19-5770897-5771773,Il1r2
208,chr19-5770897-5771773,Gm16894
209,chr19-5770897-5771773,Il1r1
210,chr19-5770897-5771773,Il1rl2
211,chr19-5770897-5771773,Il1rl1
212,chr19-5770897-5771773,Il18r1
213,chr19-5770897-5771773,Il18rap
214,chr19-5770897-5771773,Slc9a4
215,chr19-5770897-5771773,Slc9a2
216,chr19-5770897-5771773,Gm37623
217,chr19-5770897-5771773,Gm37915
218,chr19-5770897-5771773,Mfsd9
219,chr19-5770897-5771773,Tmem182
220,chr19-5770897-5771773,4930448I06Rik
221,chr19-5770897-5771773,Gm28634
222,chr13-83884683-83885582,Gm29260
223,chr13-83884683-83885582,Gm9915
224,chr13-83884683-83885582,Gm29664
225,chr13-83884683-83885582,Gm28175
226,chr13-83884683-83885582,Gm28140
227,chr13-83884683-83885582,Pantr1
228,chr13-83884683-83885582,Gm20646
229,chr13-83884683-83885582,Pou3f3
230,chr13-83884683-83885582,Pantr2
231,chr13-83884683-83885582,Dalir
232,chr13-83884683-83885582,Mrps9
233,chr13-83884683-83885582,Gpr45
234,chr13-83884683-83885582,Tgfbrap1
235,chr13-83884683-83885582,8430432A02Rik
236,chr13-83884683-83885582,AI597479
237,chr13-83884683-83885582,Fhl2
238,chr13-83884683-83885582,Gm29040
239,chr13-83884683-83885582,Nck2
240,chr13-83884683-83885582,Ecrg4
241,chr13-83884683-83885582,Gm29155
242,chr13-83884683-83885582,Gm29157
243,chr13-83884683-83885582,Gm29156
244,chr13-83884683-83885582,Uxs1
245,chr13-83884683-83885582,Tpp2
246,chr13-83884683-83885582,Mettl21c
247,chr13-83884683-83885582,Gm8251
248,chr13-83884683-83885582,Tex30
249,chr13-83884683-83885582,Poglut2
250,chr13-83884683-83885582,Bivm
251,chr13-83884683-83885582,Ercc5
252,chr13-83884683-83885582,Mettl21e
253,chr13-83884683-83885582,Gulp1
254,chr13-83884683-83885582,4930521E06Rik
255,chr13-83884683-83885582,Col3a1
256,chr13-83884683-83885582,Col5a2
257,chr13-83884683-83885582,Wdr75
258,chr13-83884683-83885582,Slc40a1
259,chr13-83884683-83885582,Dnah7b
260,chr13-83884683-83885582,Dnah7c
261,chr13-83884683-83885582,Slc39a10
262,chr13-83884683-83885582,Gm28151
263,chr13-83884683-83885582,Gm28826
264,chr13-83884683-83885582,C230029F24Rik
265,chr13-83884683-83885582,4933411E06Rik
266,chr13-83884683-83885582,Tmeff2
267,chr13-83884683-83885582,Gm28319
268,chr13-83884683-83885582,Gm28320
269,chr13-83884683-83885582,Gm29325
270,chr13-83884683-83885582,9330175M20Rik
271,chr13-83884683-83885582,Cavin2
272,chr13-83884683-83885582,1700072G22Rik
273,chr13-83884683-83885582,Nabp1
274,chr13-83884683-83885582,Gm17767
275,chr13-83884683-83885582,Gm28055
276,chr13-83884683-83885582,Myo1b
277,chr13-83884683-83885582,Gm29453
278,chr13-83884683-83885582,Gm28323
279,chr13-83884683-83885582,Stat4
280,chr13-83884683-83885582,Gm31812
281,chr13-83884683-83885582,Stat1
282,chr13-83884683-83885582,Gls
283,chr13-83884683-83885582,Nab1
284,chr15-8659490-8660335,Gm553
285,chr15-8659490-8660335,Gm28178
286,chr15-8659490-8660335,Nemp2
287,chr15-8659490-8660335,Mfsd6
288,chr15-8659490-8660335,Gm29670
289,chr15-8659490-8660335,Inpp1
290,chr13-83884683-83885582,Hibch
291,chr13-83884683-83885582,1700019D03Rik
292,chr15-8659490-8660335,Mstn
293,chr15-8659490-8660335,1700019A02Rik
294,chr15-8659490-8660335,Pms1
295,chr15-8659490-8660335,Ormdl1
296,chr15-8659490-8660335,Osgepl1
297,chr15-8659490-8660335,Asnsd1
298,chr15-8659490-8660335,Dnah7a
299,chr15-8659490-8660335,Stk17b
300,chr15-8659490-8660335,Hecw2
301,chr13-83884683-83885582,Ccdc150
302,chr13-83884683-83885582,Gtf3c3
303,chr13-83884683-83885582,Gm34066
304,chr13-83884683-83885582,Pgap1
305,chr13-83884683-83885582,Ankrd44
306,chr13-83884683-83885582,4930444A19Rik
307,chr13-83884683-83885582,Sf3b1
308,chr13-83884683-83885582,Coq10b
309,chr13-83884683-83885582,Hspd1
310,chr13-83884683-83885582,Hspe1
311,chr13-83884683-83885582,Mob4
312,chr13-83884683-83885582,Rftn2
313,chr13-83884683-83885582,Gm10561
314,chr13-83884683-83885582,Mars2
315,chr13-83884683-83885582,Boll
316,chr13-83884683-83885582,Plcl1
317,chr13-83884683-83885582,9130227L01Rik
318,chr13-83884683-83885582,1700003I22Rik
319,chr13-83884683-83885582,Gm28240
320,chr13-83884683-83885582,Hsfy2
321,chr13-83884683-83885582,Satb2
322,chr13-83884683-83885582,9130024F11Rik
323,chr13-83884683-83885582,BC055402
324,chr13-83884683-83885582,4930558J18Rik
325,chr13-83884683-83885582,1700066M21Rik
326,chr13-83884683-83885582,Tyw5
327,chr13-83884683-83885582,Maip1
328,chr13-83884683-83885582,Spats2l
329,chr13-83884683-83885582,Gm17234
330,chr13-83884683-83885582,Kctd18
331,chr13-83884683-83885582,Sgo2a
332,chr13-83884683-83885582,Aox1
333,chr13-83884683-83885582,Aox3
334,chr13-83884683-83885582,Aox4
335,chr13-83884683-83885582,Gm15759
336,chr13-83884683-83885582,Aox2
337,chr13-83884683-83885582,Bzw1
338,chr13-83884683-83885582,Clk1
339,chr13-83884683-83885582,Ppil3
340,chr13-83884683-83885582,Nif3l1
341,chr13-83884683-83885582,Orc2
342,chr13-83884683-83885582,Gm15834
343,chr13-83884683-83885582,Fam126b
344,chr13-83884683-83885582,Ndufb3
345,chr13-83884683-83885582,Flacc1
346,chr13-83884683-83885582,Cflar
347,chr13-83884683-83885582,Casp8
348,chr13-83884683-83885582,Trak2
349,chr13-83884683-83885582,Stradb
350,chr13-83884683-83885582,C2cd6
351,chr13-83884683-83885582,Gm29018
352,chr13-83884683-83885582,Tmem237
353,chr13-83884683-83885582,G730003C15Rik
354,chr13-83884683-83885582,Mpp4
355,chr13-83884683-83885582,Gm29017
356,chr13-83884683-83885582,Als2
357,chr13-83884683-83885582,Cdk15
358,chr13-83884683-83885582,Gm29016
359,chr13-83884683-83885582,Fzd7
360,chr13-83884683-83885582,Gm26813
361,chr13-83884683-83885582,Gm973
362,chr13-83884683-83885582,Gm28411
363,chr13-83884683-83885582,Sumo1
364,chr13-83884683-83885582,Nop58
365,chr13-83884683-83885582,Bmpr2
366,chr13-83884683-83885582,Fam117b
367,chr13-83884683-83885582,Ica1l
368,chr13-83884683-83885582,Wdr12
369,chr13-83884683-83885582,Carf
370,chr13-83884683-83885582,Nbeal1
371,chr13-83884683-83885582,Cyp20a1
372,chr13-83884683-83885582,Abi2
373,chr13-83884683-83885582,Raph1
374,chr13-83884683-83885582,Cd28
375,chr13-83884683-83885582,Gm11579
376,chr13-83884683-83885582,2310016D23Rik
377,chr13-83884683-83885582,Ctla4
378,chr13-83884683-83885582,Icos
379,chr13-83884683-83885582,Gm28083
380,chr13-83884683-83885582,9530026F06Rik
381,chr13-83884683-83885582,Gm11588
382,chr13-83884683-83885582,4930587A21Rik
383,chr13-83884683-83885582,Pard3b
384,chr13-83884683-83885582,Pard3bos1
385,chr13-83884683-83885582,Pard3bos3
386,chr13-83884683-83885582,Nrp2
387,chr13-83884683-83885582,Gm29083
388,chr13-83884683-83885582,Gm4208
389,chr13-83884683-83885582,Ino80d
390,chr13-83884683-83885582,Ino80dos
391,chr13-83884683-83885582,Gm20342
392,chr13-83884683-83885582,Ndufs1
393,chr13-83884683-83885582,Eef1b2
394,chr13-83884683-83885582,Gpr1
395,chr13-83884683-83885582,Gm11608
396,chr13-83884683-83885582,Zdbf2
397,chr13-83884683-83885582,Adam23
398,chr13-83884683-83885582,Gm39653
399,chr13-83884683-83885582,Dytn
400,chr13-83884683-83885582,Mdh1b
401,chr13-83884683-83885582,Fastkd2
402,chr13-83884683-83885582,4933402D24Rik
403,chr13-83884683-83885582,Gm13749
404,chr13-83884683-83885582,Klf7
405,chr13-83884683-83885582,Gm13748
406,chr13-83884683-83885582,Gm28981
407,chr13-83884683-83885582,Creb1
408,chr13-83884683-83885582,Mettl21a
409,chr13-83884683-83885582,Gm28982
410,chr13-83884683-83885582,Gm29152
411,chr13-83884683-83885582,2810408I11Rik
412,chr13-83884683-83885582,Ccnyl1
413,chr13-83884683-83885582,Fzd5
414,chr13-83884683-83885582,Plekhm3
415,chr13-83884683-83885582,Akr1cl
416,chr13-83884683-83885582,Crygb
417,chr13-83884683-83885582,D630023F18Rik
418,chr13-83884683-83885582,Idh1
419,chr13-83884683-83885582,Pikfyve
420,chr13-83884683-83885582,Pth2r
421,chr13-83884683-83885582,Map2
422,chr13-83884683-83885582,Gm10558
423,chr13-83884683-83885582,Unc80
424,chr13-83884683-83885582,Rpe
425,chr13-83884683-83885582,Kansl1l
426,chr13-83884683-83885582,Acadl
427,chr13-83884683-83885582,Myl1
428,chr13-83884683-83885582,Lancl1
429,chr13-83884683-83885582,Cps1
430,chr13-83884683-83885582,Gm15668
431,chr13-83884683-83885582,Erbb4
432,chr13-83884683-83885582,Gm16076
433,chr13-83884683-83885582,Gm28497
434,chr13-83884683-83885582,Gm29113
435,chr13-83884683-83885582,Gm29114
436,chr13-83884683-83885582,Ikzf2
437,chr13-83884683-83885582,Gm29112
438,chr13-83884683-83885582,Gm28112
439,chr13-83884683-83885582,Spag16
440,chr13-83884683-83885582,Vwc2l
441,chr13-83884683-83885582,Bard1
442,chr13-83884683-83885582,Abca12
443,chr13-83884683-83885582,Atic
444,chr13-83884683-83885582,Fn1
445,chr13-83884683-83885582,Apol7d
446,chr13-83884683-83885582,Gm28818
447,chr13-83884683-83885582,4933417E11Rik
448,chr13-83884683-83885582,4930556G22Rik
449,chr13-83884683-83885582,Gm4319
450,chr13-83884683-83885582,Mreg
451,chr13-83884683-83885582,Pecr
452,chr13-83884683-83885582,Tmem169
453,chr13-83884683-83885582,Xrcc5
454,chr13-83884683-83885582,4-Mar
455,chr13-83884683-83885582,Smarcal1
456,chr13-83884683-83885582,Gm39662
457,chr13-83884683-83885582,Ankar
458,chr13-83884683-83885582,Rpl37a
459,chr13-83884683-83885582,Igfbp2
460,chr13-83884683-83885582,Igfbp5
461,chr13-83884683-83885582,1700027A15Rik
462,chr13-83884683-83885582,Gm29185
463,chr13-83884683-83885582,C530043A13Rik
464,chr13-83884683-83885582,6030407O03Rik
465,chr13-83884683-83885582,Tns1
466,chr13-83884683-83885582,Rufy4
467,chr13-83884683-83885582,Cxcr2
468,chr13-83884683-83885582,Arpc2
469,chr13-83884683-83885582,Gpbar1
470,chr13-83884683-83885582,Aamp
471,chr13-83884683-83885582,Gm28364
472,chr13-83884683-83885582,Pnkd
473,chr13-83884683-83885582,Tmbim1
474,chr13-83884683-83885582,Gm29358
475,chr13-83884683-83885582,Catip
476,chr13-83884683-83885582,Slc11a1
477,chr13-83884683-83885582,Ctdsp1
478,chr13-83884683-83885582,Vil1
479,chr13-83884683-83885582,Usp37
480,chr13-83884683-83885582,Cnot9
481,chr13-83884683-83885582,Plcd4
482,chr13-83884683-83885582,Zfp142
483,chr13-83884683-83885582,Bcs1l
484,chr13-83884683-83885582,Rnf25
485,chr13-83884683-83885582,Stk36
486,chr13-83884683-83885582,Ttll4
487,chr13-83884683-83885582,Cyp27a1
488,chr13-83884683-83885582,Wnt6
489,chr13-83884683-83885582,Gm29539
490,chr13-83884683-83885582,Wnt10a
491,chr13-83884683-83885582,Gm16582
492,chr13-83884683-83885582,Cdk5r2
493,chr13-83884683-83885582,Cfap65
494,chr13-83884683-83885582,Ihh
495,chr13-83884683-83885582,Nhej1
496,chr13-83884683-83885582,Slc23a3
497,chr13-83884683-83885582,Cnppd1
498,chr13-83884683-83885582,Retreg2
499,chr13-83884683-83885582,Zfand2b
500,chr13-83884683-83885582,Abcb6
501,chr13-83884683-83885582,Atg9a
502,chr13-83884683-83885582,Ankzf1
503,chr13-83884683-83885582,Glb1l
504,chr13-83884683-83885582,Stk16
505,chr13-83884683-83885582,Tuba4a
506,chr13-83884683-83885582,Dnajb2
507,chr13-83884683-83885582,Ptprn
508,chr13-83884683-83885582,Gm28294
509,chr13-83884683-83885582,Resp18
510,chr13-83884683-83885582,Dnpep
511,chr13-83884683-83885582,Des
512,chr13-83884683-83885582,Gm15179
513,chr13-83884683-83885582,Speg
514,chr13-83884683-83885582,Gm15178
515,chr13-83884683-83885582,Gmppa
516,chr13-83884683-83885582,Asic4
517,chr13-83884683-83885582,Chpf
518,chr13-83884683-83885582,Obsl1
519,chr13-83884683-83885582,Tmem198
520,chr13-83884683-83885582,Inha
521,chr13-83884683-83885582,Stk11ip
522,chr13-83884683-83885582,Slc4a3
523,chr13-83884683-83885582,Gm29069
524,chr13-83884683-83885582,Gm17751
525,chr13-83884683-83885582,Gm816
526,chr13-83884683-83885582,Epha4
527,chr13-83884683-83885582,Gm28386
528,chr13-83884683-83885582,Gm28387
529,chr13-83884683-83885582,Pax3
530,chr13-83884683-83885582,Sgpp2
531,chr13-83884683-83885582,Gm28410
532,chr13-83884683-83885582,Farsb
533,chr13-83884683-83885582,BC035947
534,chr13-83884683-83885582,Mogat1
535,chr13-83884683-83885582,5730419F03Rik
536,chr13-83884683-83885582,Acsl3
537,chr13-83884683-83885582,Utp14b
538,chr13-83884683-83885582,Gm29536
539,chr13-83884683-83885582,Kcne4
540,chr13-83884683-83885582,Scg2
541,chr13-83884683-83885582,Ap1s3
542,chr13-83884683-83885582,Wdfy1
543,chr13-83884683-83885582,Mrpl44
544,chr13-83884683-83885582,Serpine2
545,chr13-83884683-83885582,9830004L10Rik
546,chr13-83884683-83885582,Fam124b
547,chr13-83884683-83885582,Cul3
548,chr13-83884683-83885582,1700016L21Rik
549,chr13-83884683-83885582,Dock10
550,chr13-83884683-83885582,Nyap2
551,chr13-83884683-83885582,Irs1
552,chr13-83884683-83885582,Gm9747
553,chr13-83884683-83885582,Rhbdd1
554,chr13-83884683-83885582,Gm28940
555,chr13-83884683-83885582,Col4a4
556,chr13-83884683-83885582,Col4a3
557,chr13-83884683-83885582,C430014B12Rik
558,chr13-83884683-83885582,Mff
559,chr13-83884683-83885582,Gm28941
560,chr13-83884683-83885582,Tm4sf20
561,chr13-83884683-83885582,Agfg1
562,chr13-83884683-83885582,A030005L19Rik
563,chr13-83884683-83885582,A030014E15Rik
564,chr13-83884683-83885582,Gm47955
565,chr13-83884683-83885582,Slc19a3
566,chr13-83884683-83885582,Krtap28-10
567,chr13-83884683-83885582,Gm47969
568,chr13-83884683-83885582,Krtap28-13
569,chr13-83884683-83885582,Ccl20
570,chr13-83884683-83885582,Daw1
571,chr13-83884683-83885582,Sphkap
572,chr13-83884683-83885582,4933436I20Rik
573,chr13-83884683-83885582,Pid1
574,chr13-83884683-83885582,Dner
575,chr13-83884683-83885582,Trip12
576,chr13-83884683-83885582,Fbxo36
577,chr13-83884683-83885582,Slc16a14
578,chr13-83884683-83885582,C130026I21Rik
579,chr13-83884683-83885582,A530032D15Rik
580,chr13-83884683-83885582,A530040E14Rik
581,chr13-83884683-83885582,Gm16028
582,chr13-83884683-83885582,Gm16025
583,chr13-83884683-83885582,Gm16092
584,chr13-83884683-83885582,Sp110
585,chr13-83884683-83885582,Sp140
586,chr13-83884683-83885582,Gm10552
587,chr13-83884683-83885582,Sp100
588,chr13-83884683-83885582,A630001G21Rik
589,chr13-83884683-83885582,Cab39
590,chr13-83884683-83885582,Itm2c
591,chr13-83884683-83885582,4933407L21Rik
592,chr13-83884683-83885582,Gpr55
593,chr13-83884683-83885582,Gm28100
594,chr13-83884683-83885582,Spata3
595,chr13-83884683-83885582,2810459M11Rik
596,chr13-83884683-83885582,Psmd1
597,chr13-83884683-83885582,Htr2b
598,chr13-83884683-83885582,Armc9
599,chr13-83884683-83885582,Gm16341
600,chr13-83884683-83885582,B3gnt7
601,chr13-83884683-83885582,Gm28626
602,chr13-83884683-83885582,Ncl
603,chr13-83884683-83885582,C130036L24Rik
604,chr13-83884683-83885582,Nmur1
605,chr13-83884683-83885582,Ptma
606,chr13-83884683-83885582,Pde6d
607,chr13-83884683-83885582,Cops7b
608,chr13-83884683-83885582,Nppc
609,chr13-83884683-83885582,Dis3l2
610,chr13-83884683-83885582,Gm29055
611,chr13-83884683-83885582,Gm28375
612,chr13-83884683-83885582,Gm29371
613,chr13-83884683-83885582,Ecel1
614,chr13-83884683-83885582,Prss56
615,chr13-83884683-83885582,Chrnd
616,chr13-83884683-83885582,Chrng
617,chr13-83884683-83885582,Eif4e2
618,chr13-83884683-83885582,Efhd1
619,chr13-83884683-83885582,Gigyf2
620,chr13-83884683-83885582,Kcnj13
621,chr13-83884683-83885582,Snorc
622,chr13-83884683-83885582,Ngef
623,chr13-83884683-83885582,Neu2
624,chr13-83884683-83885582,Inpp5d
625,chr13-83884683-83885582,Atg16l1
626,chr13-83884683-83885582,Sag
627,chr13-83884683-83885582,Dgkd
628,chr13-83884683-83885582,Gm19582
629,chr13-83884683-83885582,Usp40
630,chr13-83884683-83885582,Gm20528
631,chr13-83884683-83885582,Ugt1a7c
632,chr13-83884683-83885582,Ugt1a6a
633,chr13-83884683-83885582,Dnajb3
634,chr13-83884683-83885582,Mroh2a
635,chr13-83884683-83885582,Hjurp
636,chr13-83884683-83885582,Trpm8
637,chr13-83884683-83885582,Spp2
638,chr13-83884683-83885582,Gm29538
639,chr13-83884683-83885582,Glrp1
640,chr13-83884683-83885582,Gm19589
641,chr13-83884683-83885582,Gm29336
642,chr13-83884683-83885582,Arl4c
643,chr13-83884683-83885582,Sh3bp4
644,chr13-83884683-83885582,Gm28342
645,chr13-83884683-83885582,C030007H22Rik
646,chr13-83884683-83885582,Agap1
647,chr13-83884683-83885582,Gm28499
648,chr13-83884683-83885582,4933400F21Rik
649,chr13-83884683-83885582,Gbx2
650,chr13-83884683-83885582,D130058E05Rik
651,chr13-83884683-83885582,Asb18
652,chr13-83884683-83885582,Iqca
653,chr13-83884683-83885582,Ackr3
654,chr13-83884683-83885582,Gm28721
655,chr13-83884683-83885582,Gm28723
656,chr13-83884683-83885582,Cops8
657,chr13-83884683-83885582,Col6a3
658,chr13-83884683-83885582,Mlph
659,chr13-83884683-83885582,Rab17
660,chr13-83884683-83885582,Lrrfip1
661,chr13-83884683-83885582,Rbm44
662,chr13-83884683-83885582,Ramp1
663,chr13-83884683-83885582,Ube2f
664,chr13-83884683-83885582,Scly
665,chr13-83884683-83885582,Gm17090
666,chr13-83884683-83885582,Espnl
667,chr13-83884683-83885582,Klhl30
668,chr13-83884683-83885582,Erfe
669,chr13-83884683-83885582,Ilkap
670,chr13-83884683-83885582,Hes6
671,chr13-83884683-83885582,Per2
672,chr13-83884683-83885582,Traf3ip1
673,chr13-83884683-83885582,Asb1
674,chr13-83884683-83885582,Gm28380
675,chr13-83884683-83885582,Twist2
676,chr13-83884683-83885582,Gm29101
677,chr13-83884683-83885582,Hdac4
678,chr13-83884683-83885582,Ndufa10
679,chr13-83884683-83885582,Cops9
680,chr13-83884683-83885582,Otos
681,chr13-83884683-83885582,Gm29483
682,chr13-83884683-83885582,Gm29481
683,chr13-83884683-83885582,Gpc1
684,chr13-83884683-83885582,Gm29480
685,chr13-83884683-83885582,Ankmy1
686,chr13-83884683-83885582,Dusp28
687,chr13-83884683-83885582,5033417F24Rik
688,chr13-83884683-83885582,Rnpepl1
